Designator,Value,Footprint,Reason
C20,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C21,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C22,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C23,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C24,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C25,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C26,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C27,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C28,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C29,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C30,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C31,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C32,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C33,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C34,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C35,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C36,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C37,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C38,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C39,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C40,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C41,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C42,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C43,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C44,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C45,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C46,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C47,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C48,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C49,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C50,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C51,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C52,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C53,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C54,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C55,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C56,2.2uF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
D2,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D4,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D6,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D8,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D10,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D12,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D13,1N4148,D_SOD-323,M1 optional channel (never metered; populate only after runbook 3.6)
D14,MOV DNP,D_SMA,M1 optional channel (never metered; populate only after runbook 3.6)
J12,J_MOTION_M1 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",M1 optional channel (never metered; populate only after runbook 3.6)
JP1,3V3 LINK OPEN DNP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,Default-OPEN solder link (R2-4): J16 pin 5 ships NC; bridge only for a verified 3.3V module - no part is ever fitted
K7,G5LE M1 DNP,Relay_SPDT_Omron-G5LE-1,M1 optional channel (never metered; populate only after runbook 3.6)
Q7,MMBT3904 M1,SOT-23,M1 optional channel (never metered; populate only after runbook 3.6)
R85,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R88,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R91,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R94,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R97,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R100,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R101,1k,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
R102,100k,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
R103,100R DNP,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
