# Netlist diff: rev-C (kicad/wsl-phase8b.net) -> rev-D (kicad/wsl-phase8b-revD.net)
# Generated by scripts/diff_netlist_revC_to_revD.py. Identity = SKiDL tag.
# Format: TAB-separated records; first field is the record type.
SUMMARY	parts_revC=216	parts_revD=391	nets_revC=184	nets_revD=263
ADDED_PART	Cflt_GS10	C34	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS2	C26	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS3	C27	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS4	C28	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS5	C29	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS6	C30	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS7	C31	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS8	C32	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS9	C33	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_MAN_S	C43	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_MAN_SWS	C44	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_MAN_SWSR	C45	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_MAN_T	C42	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_OS	C36	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_PBC	C39	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_PBZ	C38	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_SA	C17	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_SB	C18	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_SC	C19	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_TA1	C20	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_TA2	C21	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_TB	C22	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_TENTH	C41	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	D_ESD_J16	U47	SRV05-4	Package_TO_SOT_SMD:SOT-23-6
ADDED_PART	Dclamp_AUX1	D77	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX10	D95	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX11	D97	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX2	D79	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX3	D81	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX4	D83	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX5	D85	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX6	D87	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX7	D89	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX8	D91	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_AUX9	D93	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_BS	D59	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_DIELL_L	D31	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_DIELL_R	D33	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_FOUL	D65	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GP	D55	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS1	D35	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS10	D53	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS2	D37	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS3	D39	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS4	D41	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS5	D43	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS6	D45	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS7	D47	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS8	D49	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_GS9	D51	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_MAN_S	D71	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_MAN_SWS	D73	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_MAN_SWSR	D75	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_MAN_T	D69	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_OS	D57	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_PBC	D63	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_PBZ	D61	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_SA	D19	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_SB	D21	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_SC	D23	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_TA1	D25	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_TA2	D27	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_TB	D29	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dclamp_TENTH	D67	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX1	D76	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX10	D94	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX11	D96	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX2	D78	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX3	D80	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX4	D82	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX5	D84	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX6	D86	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX7	D88	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX8	D90	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_AUX9	D92	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_BS	D58	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_DIELL_L	D30	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_DIELL_R	D32	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_FOUL	D64	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GP	D54	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS1	D34	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS10	D52	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS2	D36	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS3	D38	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS4	D40	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS5	D42	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS6	D44	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS7	D46	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS8	D48	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_GS9	D50	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_MAN_S	D70	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_MAN_SWS	D72	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_MAN_SWSR	D74	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_MAN_T	D68	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_OS	D56	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_PBC	D62	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_PBZ	D60	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_SA	D18	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_SB	D20	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_SC	D22	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_TA1	D24	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_TA2	D26	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_TB	D28	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	Dser_TENTH	D66	1N4148	Diode_SMD:D_SOD-323
ADDED_PART	F_J16_5V	F1	1206L020YR 200mA	Fuse:Fuse_1206_3216Metric
ADDED_PART	JP_J16_3V3	JP1	3V3 LINK OPEN DNP	Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm
ADDED_PART	J_EXTI2C	J16	J_EXT_I2C	wsl_footprints:PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4
ADDED_PART	J_SLOWC	J15	J_SLOW_IN_C	wsl_footprints:PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4
ADDED_PART	OPTO_AUX10	U42	PC817 AUX10	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX11	U43	PC817 AUX11	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX4	U36	PC817 AUX4	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX5	U37	PC817 AUX5	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX6	U38	PC817 AUX6	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX7	U39	PC817 AUX7	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX8	U40	PC817 AUX8	Package_DIP:DIP-4_W7.62mm
ADDED_PART	OPTO_AUX9	U41	PC817 AUX9	Package_DIP:DIP-4_W7.62mm
ADDED_PART	Q_TAP_555	Q17	2N7002LT1G TAP 555	Package_TO_SOT_SMD:SOT-23
ADDED_PART	Q_TAP_ARM	Q19	2N7002LT1G TAP ARM	Package_TO_SOT_SMD:SOT-23
ADDED_PART	Q_TAP_KICK	Q18	2N7002LT1G TAP KICK	Package_TO_SOT_SMD:SOT-23
ADDED_PART	Q_TAP_RPOK	Q20	2N7002LT1G TAP RPOK	Package_TO_SOT_SMD:SOT-23
ADDED_PART	R_ADC5_BOT	R130	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_ADC5_TOP	R129	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_J16_SCL_PU	R143	4.7k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_J16_SDA_PU	R142	4.7k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_REVID0	R144	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_REVID1	R145	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPG_ARM	R138	10M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPG_KICK	R135	10M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPG_RPOK	R141	10M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPIN_555	R131	1M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPIN_ARM	R136	1M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPIN_KICK	R133	1M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPIN_RPOK	R139	1M	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPPU_555	R132	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPPU_ARM	R137	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPPU_KICK	R134	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_TAPPU_RPOK	R140	10k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_WET_BLEED1	R122	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	R_WET_BLEED2	R123	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX10	R79	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX11	R81	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX4	R67	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX5	R69	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX6	R71	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX7	R73	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX8	R75	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rin_AUX9	R77	2k2	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX10	R80	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX11	R82	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX4	R68	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX5	R70	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX6	R72	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX7	R74	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX8	R76	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	Rpu_AUX9	R78	47k	Resistor_SMD:R_0805_2012Metric
ADDED_PART	U_I2C_BUF	U46	TCA4307DGKR	Package_SO:VSSOP-8_3x3mm_P0.65mm
CHANGED_PART	D_PROT	SS14|Diode_SMD:D_SMA	->	SS34|Diode_SMD:D_SMA
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): D_PROT
CHANGED_PART	J_FAST	J_FAST_IN|Connector_Phoenix_MC:PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical	->	J_FAST_IN|wsl_footprints:PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): J_FAST
CHANGED_PART	J_LAMP	J_LAMP_LED|Connector_Phoenix_MC:PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical	->	J_LAMP_LED|wsl_footprints:PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): J_LAMP
CHANGED_PART	J_SAFE	J_SAFETY|Connector_Phoenix_MC:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical	->	J_SAFETY|wsl_footprints:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical_D1.4
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): J_SAFE
CHANGED_PART	J_SLOWA	J_SLOW_IN_A|Connector_Phoenix_MC:PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical	->	J_SLOW_IN_A|wsl_footprints:PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical_D1.4
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): J_SLOWA
CHANGED_PART	J_SLOWB	J_SLOW_IN_B|Connector_Phoenix_MC:PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical	->	J_SLOW_IN_B|wsl_footprints:PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical_D1.4
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): J_SLOWB
CHANGED_PART	Rpu_AUX1	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_AUX1
CHANGED_PART	Rpu_AUX2	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_AUX2
CHANGED_PART	Rpu_AUX3	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_AUX3
CHANGED_PART	Rpu_BS	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_BS
CHANGED_PART	Rpu_DIELL_L	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_DIELL_L
CHANGED_PART	Rpu_DIELL_R	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_DIELL_R
CHANGED_PART	Rpu_FOUL	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_FOUL
CHANGED_PART	Rpu_GP	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GP
CHANGED_PART	Rpu_GS1	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS1
CHANGED_PART	Rpu_GS10	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS10
CHANGED_PART	Rpu_GS2	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS2
CHANGED_PART	Rpu_GS3	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS3
CHANGED_PART	Rpu_GS4	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS4
CHANGED_PART	Rpu_GS5	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS5
CHANGED_PART	Rpu_GS6	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS6
CHANGED_PART	Rpu_GS7	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS7
CHANGED_PART	Rpu_GS8	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS8
CHANGED_PART	Rpu_GS9	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_GS9
CHANGED_PART	Rpu_MAN_S	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_MAN_S
CHANGED_PART	Rpu_MAN_SWS	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_MAN_SWS
CHANGED_PART	Rpu_MAN_SWSR	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_MAN_SWSR
CHANGED_PART	Rpu_MAN_T	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_MAN_T
CHANGED_PART	Rpu_OS	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_OS
CHANGED_PART	Rpu_PBC	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_PBC
CHANGED_PART	Rpu_PBZ	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_PBZ
CHANGED_PART	Rpu_SA	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_SA
CHANGED_PART	Rpu_SB	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_SB
CHANGED_PART	Rpu_SC	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_SC
CHANGED_PART	Rpu_TA1	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_TA1
CHANGED_PART	Rpu_TA2	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
NOTE	documented change (D_PROT: spec H.4/FR-3; MCV _D1.4: remediation R2.5/FR-9; Rpu_* 47k: remediation spec R4): Rpu_TA2
CHANGED_PART	Rpu_TB	10k|Resistor_SMD:R_0805_2012Metric	->	47k|Resistor_SMD:R_0805_2012Metric
