Channel,Speed class,Field connector pin,Opto,Rin (2k2),Rpu (47k),Dser ref,Dser part,Dser stuffing,Dclamp ref,Dclamp part,Dclamp stuffing,Cflt ref,Cflt value,Cflt MFR Part #,Cflt LCSC Part #,Cflt stuffing,Signal-class evidence,Measured / prior,Decision + measurement that decides Cflt,Measurement procedure
AUX11,SLOW (MCP23017),J15-8,U43,R81,R82,D96,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D97,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C56,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX2,SLOW (MCP23017),J5-10,U34,R63,R64,D78,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D79,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C47,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX3,SLOW (MCP23017),J5-11,U35,R65,R66,D80,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D81,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C48,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX4,SLOW (MCP23017),J15-1,U36,R67,R68,D82,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D83,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C49,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX5,SLOW (MCP23017),J15-2,U37,R69,R70,D84,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D85,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C50,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX6,SLOW (MCP23017),J15-3,U38,R71,R72,D86,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D87,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C51,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX7,SLOW (MCP23017),J15-4,U39,R73,R74,D88,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D89,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C52,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX8,SLOW (MCP23017),J15-5,U40,R75,R76,D90,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D91,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C53,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX9,SLOW (MCP23017),J15-6,U41,R77,R78,D92,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D93,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C54,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
BS,SLOW (MCP23017),J4-13,U24,R43,R44,D58,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D59,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C37,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,DC dry contact (bin/#9 switch). Cflt UNFITTED. No measurement pending.,Already metered - no measurement pending.
FOUL,SLOW (MCP23017),J5-3,U27,R49,R50,D64,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D65,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C40,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,Radaray foul-lamp wire - lamp circuits are a rectified/AC prior,"MEASURE-THEN-STUFF. SLOW channel, so 2.2uF IS available if it meters as 24 VAC - but foul is an EDGE input (on_foul); a 183 ms de-assert must be checked against the foul-detect timing before fitting. Default UNFITTED.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
GP,SLOW (MCP23017),J4-11,U22,R39,R40,D54,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D55,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C35,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"gripper-protect, C2A-412DD - class open",MEASURE-THEN-STUFF. SLOW channel. Default UNFITTED; fit 2.2uF only on a metered 24 VAC reading with a >=200 ms release budget.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
GS1,SLOW (MCP23017),J4-1,U12,R19,R20,D34,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D35,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C25,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS10,SLOW (MCP23017),J4-10,U21,R37,R38,D52,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D53,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C34,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS2,SLOW (MCP23017),J4-2,U13,R21,R22,D36,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D37,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C26,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS3,SLOW (MCP23017),J4-3,U14,R23,R24,D38,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D39,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C27,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS4,SLOW (MCP23017),J4-4,U15,R25,R26,D40,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D41,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C28,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS5,SLOW (MCP23017),J4-5,U16,R27,R28,D42,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D43,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C29,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS6,SLOW (MCP23017),J4-6,U17,R29,R30,D44,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D45,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C30,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS7,SLOW (MCP23017),J4-7,U18,R31,R32,D46,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D47,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C31,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS8,SLOW (MCP23017),J4-8,U19,R33,R34,D48,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D49,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C32,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
GS9,SLOW (MCP23017),J4-9,U20,R35,R36,D50,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D51,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C33,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",11 VDC dry,"DC dry contact, safe bare even pre-r6. Cflt UNFITTED. No measurement pending.",Already metered - no measurement pending.
MAN_S,SLOW (MCP23017),J5-6,U30,R55,R56,D70,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D71,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C43,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"machine console / manual switch - dry-contact prior, unmetered",MEASURE-THEN-STUFF before landing (these are future-FSM channels and unlanded on the first article). SLOW channel. Default UNFITTED.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
MAN_SWS,SLOW (MCP23017),J5-7,U31,R57,R58,D72,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D73,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C44,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"machine console / manual switch - dry-contact prior, unmetered",MEASURE-THEN-STUFF before landing (these are future-FSM channels and unlanded on the first article). SLOW channel. Default UNFITTED.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
MAN_SWSR,SLOW (MCP23017),J5-8,U32,R59,R60,D74,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D75,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C45,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"machine console / manual switch - dry-contact prior, unmetered",MEASURE-THEN-STUFF before landing (these are future-FSM channels and unlanded on the first article). SLOW channel. Default UNFITTED.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
