Designator,Value,Footprint,Manufacturer,MFR Part #,LCSC Part #,Reason
C37,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C38,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C39,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C40,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C41,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C42,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C43,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C44,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C45,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C46,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C47,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
