Comment,Designator,Footprint,Quantity,Assembly Bucket,Source Strategy,Purchase Spec,Candidate MPN,Candidate JLCPCB Part #,LCSC Part #,Notes
MCP23017 MCP_IN_B,U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,SMT candidate - stock verify,JLC/LCSC stock or pre-order,"MCP23017 I/O expander, SOIC-28W 7.5mm body, 1.27mm pitch",MCP23017-E/SO or MCP23017T-E/SO,JLC candidate C47023,,Confirm package width and I2C address variant; do not substitute SPI MCP23S17.
MCP23017 MCP_OUT_A,U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,SMT candidate - stock verify,JLC/LCSC stock or pre-order,"MCP23017 I/O expander, SOIC-28W 7.5mm body, 1.27mm pitch",MCP23017-E/SO or MCP23017T-E/SO,JLC candidate C47023,,Confirm package width and I2C address variant; do not substitute SPI MCP23S17.
G5LE BE,K4,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
G5LE M,K5,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
G5LE M2,K6,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
G5LE S,K1,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
G5LE SP,K3,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
G5LE T,K2,Relay_SPDT_Omron-G5LE-1,1,THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
J_FAST_IN,J3,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical",1,THT assembly / verify,"JLC THT, consign, or hand-solder","10-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,Order matching off-board plugs separately; verify latching/keying and orientation.
J_LAMP_LED,J13,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",1,THT assembly / verify,"JLC THT, consign, or hand-solder","6-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,Order matching off-board plugs separately; verify latching/keying and orientation.
J_MOTION_BE 5.08mm,J9,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_MOTION_M 5.08mm,J10,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_MOTION_M2 5.08mm,J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_MOTION_S 5.08mm,J6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_MOTION_SP 5.08mm,J8,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_MOTION_T 5.08mm,J7,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_PI,J1,IDC-Header_2x10_P2.54mm_Vertical,1,THT assembly / verify,JLC THT or consign,"2x10 vertical IDC/shrouded header, 2.54mm pitch",,,,Confirm cable keying/orientation against Pi interface harness.
J_PWR 5V,J2,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,THT assembly / verify,"JLC THT, consign, or hand-solder","3-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",No locked JLC candidate yet,,"Verify pin pitch, drill size, body keepout, and wire-entry direction."
J_SAFETY,J14,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,THT assembly / verify,"JLC THT, consign, or hand-solder","4-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,Order matching off-board plugs separately; verify latching/keying and orientation.
J_SLOW_IN_A,J4,"PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical",1,THT assembly / verify,"JLC THT, consign, or hand-solder","14-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,Order matching off-board plugs separately; verify latching/keying and orientation.
J_SLOW_IN_B,J5,"PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical",1,THT assembly / verify,"JLC THT, consign, or hand-solder","12-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,Order matching off-board plugs separately; verify latching/keying and orientation.
PC817 AUX1,U33,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 AUX2,U34,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 AUX3,U35,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 BS,U24,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 DIELL_L,U10,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 DIELL_R,U11,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 FOUL,U27,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GP,U22,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS1,U12,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS10,U21,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS2,U13,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS3,U14,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS4,U15,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS5,U16,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS6,U17,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS7,U18,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS8,U19,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 GS9,U20,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 MAN_S,U30,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 MAN_SWS,U31,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 MAN_SWSR,U32,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 MAN_T,U29,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 OS,U23,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 PBC,U26,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 PBZ,U25,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 SA,U4,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 SB,U5,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 SC,U6,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 TA1,U7,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 TA2,U8,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 TB,U9,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
PC817 TENTH,U28,DIP-4_W7.62mm,1,THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
TMA-0505S,U37,Converter_DCDC_TRACO_TMA-05xxS_12xxS_Single_THT,1,THT assembly / consign likely,Consign exact part unless stock match is proven,TMA-0505S isolated 5V-to-5V 1W SIP DC/DC converter,TRACO Power TMA 0505S,,,"Do not substitute until pinout, isolation rating, output current, and footprint are checked."
RP2040 Pico,A1,RaspberryPi_Pico_SMD,1,Consign / assembly-house verify,Consign or separately source,"Raspberry Pi Pico module, SMD castellated footprint",Raspberry Pi Pico,JLC candidate C7203002,,Verify assembly house will place module; otherwise hand-solder after SMT/THT assembly.
