Supplier,MFR,MFR_PN,DigiKey_PN,Description,Qty,Unit_USD_est,Ext_USD_est,Critical,Notes
DigiKey,Raspberry Pi,SC1628,2648-SC1628-ND,"microSD A2/V30 32GB (host OS)",3,15.39,46.17,Y,"1 live + 1 clone + 1 blank"
DigiKey,Raspberry Pi,SC1148,2648-SC1148-ND,"Pi 5 Active Cooler",2,5.00,10.00,N,""
Amazon,TUOFENG,B07G2GLKMP,-,"20 AWG silicone stranded hookup wire, 6-color kit",1,16.99,16.99,N,"covers all 3 boards"
Amazon,IWISS,B0DDT8GHVY,-,"HSC8 6-4 ferrule crimper + 1200pc ferrule kit",1,28.99,28.99,Y,"crimper + 0.5-1.5mm2 ferrules in one buy"
Amazon,Sutemribor,B075K3QBMX,-,"M3 brass standoff + screw + nut kit (~180pc)",1,15.99,15.99,N,"use nylon kit if mounting to conductive chassis"
Amazon,Amazon Basics,B072J1BSV6,-,"USB-A to Micro-USB data cable, 3-pack (Pico flash)",1,8.99,8.99,Y,"Pico SC0915 = Micro-USB; must be data-capable"
Amazon,generic,B003UHNMMS,-,"12V incandescent test light (relay dry-contact dummy load)",1,8.99,8.99,N,"real load for 12.9 relay test; bench only, NOT mains"
Amazon,generic,alligator-jumpers,-,"Alligator-clip test leads + dupont jumpers",1,10.00,10.00,N,"TP1-16 probing + jumper J14 safety loop closed"
Amazon,generic,gpio-breakout,-,"40-pin Pi GPIO breakout board + ribbon",2,10.00,20.00,Y,"for the custom J1<->Pi harness (scattered Pi pins)"
Amazon,generic,solder-kit,-,"Solder + flux pen + desolder braid + tip cleaner",1,25.00,25.00,N,"IF not on hand; ~42 THT joints/board"
Amazon,generic,esd-strap,-,"ESD wrist strap + mat",1,8.00,8.00,N,"A1 + U37 ESD-sensitive"
Amazon,generic,sd-reader,-,"USB microSD card reader",1,8.00,8.00,N,"IF not on hand; cards ship blank"
Amazon,generic,label-tape,-,"Label / marker tape (harness tagging)",1,8.00,8.00,N,"cutover lift-dont-cut tagging"
Amazon,generic,bench-psu,-,"0-30V/5A adjustable bench DC supply (OPTIONAL)",1,55.00,55.00,N,"IF not on hand; sources 12V dummy load + input wetting"
