Ref,Function (SKiDL tag),Value,Footprint,X mm,Y mm,Rot,Side,Band,DNP
D11,Dfly_M2,1N4148,D_SOD-323,164.00,188.00,0,top,LOGIC,
D12,MOV_M2,MOV DNP,D_SMA,222.00,190.00,90,top,MACHINE,DNP
D13,Dfly_M1,1N4148,D_SOD-323,164.00,210.00,0,top,LOGIC,DNP
D14,MOV_M1,MOV DNP,D_SMA,222.00,212.00,90,top,MACHINE,DNP
D15,D_WDOG_TIMING,1N4148,D_SOD-323,152.00,35.00,0,top,LOGIC,
D16,D_WDOG_TRIG,1N4148,D_SOD-323,159.00,35.00,0,top,LOGIC,
D17,D_PROT,SS34,D_SMA,122.00,20.00,0,top,LOGIC,
F1,F_J16_5V,1206L020YR 200mA,Fuse_1206_3216Metric,122.60,220.50,-90,top,LOGIC,
J1,J_PI,J_PI,IDC-Header_2x10_P2.54mm_Vertical,135.50,10.00,90,top,LOGIC,
J2,J_PWR,J_PWR 5V,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",116.00,10.00,0,top,LOGIC,
J3,J_FAST,J_FAST_IN,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",9.00,42.00,90,top,FIELD,
J4,J_SLOWA,J_SLOW_IN_A,"PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical_D1.4",9.00,103.00,90,top,FIELD,
J5,J_SLOWB,J_SLOW_IN_B,"PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical_D1.4",9.00,168.00,90,top,FIELD,
J6,J_MOTION_S,J_MOTION_S 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,68.00,-90,top,MACHINE,
J7,J_MOTION_T,J_MOTION_T 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,90.00,-90,top,MACHINE,
J8,J_MOTION_SP,J_MOTION_SP 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,112.00,-90,top,MACHINE,
J9,J_MOTION_BE,J_MOTION_BE 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,134.00,-90,top,MACHINE,
J10,J_MOTION_M,J_MOTION_M 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,156.00,-90,top,MACHINE,
J11,J_MOTION_M2,J_MOTION_M2 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,178.00,-90,top,MACHINE,
J12,J_MOTION_M1,J_MOTION_M1 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.00,200.00,-90,top,MACHINE,DNP
J13,J_LAMP,J_LAMP_LED,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",104.00,206.00,0,top,LOGIC,
J14,J_SAFE,J_SAFETY,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical_D1.4",167.00,10.00,0,top,LOGIC,
J15,J_SLOWC,J_SLOW_IN_C,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",9.00,222.00,90,top,FIELD,
J16,J_EXTI2C,J_EXT_I2C,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",128.00,206.00,0,top,LOGIC,
JP1,JP_J16_3V3,3V3 LINK OPEN DNP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,144.60,218.90,180,top,LOGIC,DNP
K1,K_S,G5LE S,Relay_SPDT_Omron-G5LE-1,176.00,72.00,90,top,LOGIC,
K2,K_T,G5LE T,Relay_SPDT_Omron-G5LE-1,176.00,94.00,90,top,LOGIC,
K3,K_SP,G5LE SP,Relay_SPDT_Omron-G5LE-1,176.00,116.00,90,top,LOGIC,
K4,K_BE,G5LE BE,Relay_SPDT_Omron-G5LE-1,176.00,138.00,90,top,LOGIC,
K5,K_M,G5LE M,Relay_SPDT_Omron-G5LE-1,176.00,160.00,90,top,LOGIC,
K6,K_M2,G5LE M2,Relay_SPDT_Omron-G5LE-1,176.00,182.00,90,top,LOGIC,
K7,K_M1,G5LE M1 DNP,Relay_SPDT_Omron-G5LE-1,176.00,204.00,90,top,LOGIC,DNP
Q1,Qk_S,MMBT3904 S,SOT-23,160.00,67.00,0,top,LOGIC,
Q2,Qk_T,MMBT3904 T,SOT-23,160.00,89.00,0,top,LOGIC,
Q3,Qk_SP,MMBT3904 SP,SOT-23,160.00,111.00,0,top,LOGIC,
Q4,Qk_BE,MMBT3904 BE,SOT-23,160.00,133.00,0,top,LOGIC,
Q5,Qk_M,MMBT3904 M,SOT-23,160.00,155.00,0,top,LOGIC,
Q6,Qk_M2,MMBT3904 M2,SOT-23,160.00,177.00,0,top,LOGIC,
Q7,Qk_M1,MMBT3904 M1,SOT-23,160.00,199.00,0,top,LOGIC,DNP
Q8,Qled_L_FIRST,2N7002 LED L_FIRST,SOT-23,104.00,198.00,0,top,LOGIC,
Q9,Qled_L_SECOND,2N7002 LED L_SECOND,SOT-23,116.00,198.00,0,top,LOGIC,
Q10,Qled_L_STRIKE,2N7002 LED L_STRIKE,SOT-23,128.00,198.00,0,top,LOGIC,
Q11,Qled_L_FOUL,2N7002 LED L_FOUL,SOT-23,140.00,198.00,0,top,LOGIC,
Q12,Q_WDOG_KICK,AO3400A kick,SOT-23,142.00,58.00,0,top,LOGIC,
Q13,Q_WDOG_OK,AO3400A wdog,SOT-23,162.00,58.00,0,top,LOGIC,
Q14,Q_RAIL,AO3401A rail pass,SOT-23,158.00,82.00,0,top,LOGIC,
Q15,Q_AND_ARM,MMBT3904 AND ARM,SOT-23,143.00,92.00,0,top,LOGIC,
Q16,Q_AND_RP_OK,MMBT3904 AND RP_OK,SOT-23,160.00,96.00,0,top,LOGIC,
Q17,Q_TAP_555,2N7002LT1G TAP 555,SOT-23,116.00,52.00,180,top,LOGIC,
Q18,Q_TAP_KICK,2N7002LT1G TAP KICK,SOT-23,116.00,56.00,180,top,LOGIC,
Q19,Q_TAP_ARM,2N7002LT1G TAP ARM,SOT-23,116.00,60.00,180,top,LOGIC,
Q20,Q_TAP_RPOK,2N7002LT1G TAP RPOK,SOT-23,116.00,64.00,180,top,LOGIC,
R1,R_I2C_SDA,4.7k,R_0805_2012Metric,103.00,86.00,90,top,LOGIC,
R2,R_I2C_SCL,4.7k,R_0805_2012Metric,110.00,86.00,90,top,LOGIC,
R3,Rin_SA,2k2,R_0805_2012Metric,58.00,11.20,0,top,FIELD,
R4,Rpu_SA,10k,R_0805_2012Metric,86.00,14.80,0,top,LOGIC,
R5,Rin_SB,2k2,R_0805_2012Metric,58.00,16.90,0,top,FIELD,
R6,Rpu_SB,10k,R_0805_2012Metric,86.00,20.50,0,top,LOGIC,
R7,Rin_SC,2k2,R_0805_2012Metric,58.00,22.60,0,top,FIELD,
R8,Rpu_SC,10k,R_0805_2012Metric,86.00,26.20,0,top,LOGIC,
R9,Rin_TA1,2k2,R_0805_2012Metric,58.00,28.30,0,top,FIELD,
R10,Rpu_TA1,10k,R_0805_2012Metric,86.00,31.90,0,top,LOGIC,
R11,Rin_TA2,2k2,R_0805_2012Metric,58.00,34.00,0,top,FIELD,
R12,Rpu_TA2,10k,R_0805_2012Metric,86.00,37.60,0,top,LOGIC,
R13,Rin_TB,2k2,R_0805_2012Metric,58.00,39.70,0,top,FIELD,
R14,Rpu_TB,10k,R_0805_2012Metric,86.00,43.30,0,top,LOGIC,
R15,Rin_DIELL_L,2k2,R_0805_2012Metric,58.00,45.40,0,top,FIELD,
R16,Rpu_DIELL_L,10k,R_0805_2012Metric,86.00,49.00,0,top,LOGIC,
R17,Rin_DIELL_R,2k2,R_0805_2012Metric,58.00,51.10,0,top,FIELD,
R18,Rpu_DIELL_R,10k,R_0805_2012Metric,86.00,54.70,0,top,LOGIC,
R19,Rin_GS1,2k2,R_0805_2012Metric,58.00,56.80,0,top,FIELD,
R20,Rpu_GS1,10k,R_0805_2012Metric,86.00,60.40,0,top,LOGIC,
R21,Rin_GS2,2k2,R_0805_2012Metric,58.00,62.50,0,top,FIELD,
R22,Rpu_GS2,10k,R_0805_2012Metric,86.00,66.10,0,top,LOGIC,
R23,Rin_GS3,2k2,R_0805_2012Metric,58.00,68.20,0,top,FIELD,
R24,Rpu_GS3,10k,R_0805_2012Metric,86.00,71.80,0,top,LOGIC,
R25,Rin_GS4,2k2,R_0805_2012Metric,58.00,73.90,0,top,FIELD,
R26,Rpu_GS4,10k,R_0805_2012Metric,86.00,77.50,0,top,LOGIC,
R27,Rin_GS5,2k2,R_0805_2012Metric,58.00,79.60,0,top,FIELD,
R28,Rpu_GS5,10k,R_0805_2012Metric,86.00,83.20,0,top,LOGIC,
R29,Rin_GS6,2k2,R_0805_2012Metric,58.00,85.30,0,top,FIELD,
R30,Rpu_GS6,10k,R_0805_2012Metric,86.00,88.90,0,top,LOGIC,
R31,Rin_GS7,2k2,R_0805_2012Metric,58.00,91.00,0,top,FIELD,
R32,Rpu_GS7,10k,R_0805_2012Metric,86.00,94.60,0,top,LOGIC,
R33,Rin_GS8,2k2,R_0805_2012Metric,58.00,96.70,0,top,FIELD,
R34,Rpu_GS8,10k,R_0805_2012Metric,86.00,100.30,0,top,LOGIC,
R35,Rin_GS9,2k2,R_0805_2012Metric,58.00,102.40,0,top,FIELD,
R36,Rpu_GS9,10k,R_0805_2012Metric,86.00,106.00,0,top,LOGIC,
R37,Rin_GS10,2k2,R_0805_2012Metric,58.00,108.10,0,top,FIELD,
R38,Rpu_GS10,10k,R_0805_2012Metric,86.00,111.70,0,top,LOGIC,
R39,Rin_GP,2k2,R_0805_2012Metric,58.00,113.80,0,top,FIELD,
R40,Rpu_GP,10k,R_0805_2012Metric,86.00,117.40,0,top,LOGIC,
R41,Rin_OS,2k2,R_0805_2012Metric,58.00,119.50,0,top,FIELD,
R42,Rpu_OS,10k,R_0805_2012Metric,86.00,123.10,0,top,LOGIC,
R43,Rin_BS,2k2,R_0805_2012Metric,58.00,125.20,0,top,FIELD,
R44,Rpu_BS,10k,R_0805_2012Metric,86.00,128.80,0,top,LOGIC,
R45,Rin_PBZ,2k2,R_0805_2012Metric,58.00,130.90,0,top,FIELD,
R46,Rpu_PBZ,10k,R_0805_2012Metric,86.00,134.50,0,top,LOGIC,
R47,Rin_PBC,2k2,R_0805_2012Metric,58.00,136.60,0,top,FIELD,
R48,Rpu_PBC,10k,R_0805_2012Metric,86.00,140.20,0,top,LOGIC,
R49,Rin_FOUL,2k2,R_0805_2012Metric,58.00,142.30,0,top,FIELD,
R50,Rpu_FOUL,10k,R_0805_2012Metric,86.00,145.90,0,top,LOGIC,
R51,Rin_TENTH,2k2,R_0805_2012Metric,58.00,148.00,0,top,FIELD,
R52,Rpu_TENTH,10k,R_0805_2012Metric,86.00,151.60,0,top,LOGIC,
R53,Rin_MAN_T,2k2,R_0805_2012Metric,58.00,153.70,0,top,FIELD,
R54,Rpu_MAN_T,10k,R_0805_2012Metric,86.00,157.30,0,top,LOGIC,
R55,Rin_MAN_S,2k2,R_0805_2012Metric,58.00,159.40,0,top,FIELD,
R56,Rpu_MAN_S,10k,R_0805_2012Metric,86.00,163.00,0,top,LOGIC,
R57,Rin_MAN_SWS,2k2,R_0805_2012Metric,58.00,165.10,0,top,FIELD,
R58,Rpu_MAN_SWS,10k,R_0805_2012Metric,86.00,168.70,0,top,LOGIC,
R59,Rin_MAN_SWSR,2k2,R_0805_2012Metric,58.00,170.80,0,top,FIELD,
R60,Rpu_MAN_SWSR,10k,R_0805_2012Metric,86.00,174.40,0,top,LOGIC,
R61,Rin_AUX1,2k2,R_0805_2012Metric,58.00,176.50,0,top,FIELD,
R62,Rpu_AUX1,10k,R_0805_2012Metric,86.00,180.10,0,top,LOGIC,
R63,Rin_AUX2,2k2,R_0805_2012Metric,58.00,182.20,0,top,FIELD,
R64,Rpu_AUX2,10k,R_0805_2012Metric,86.00,185.80,0,top,LOGIC,
R65,Rin_AUX3,2k2,R_0805_2012Metric,58.00,187.90,0,top,FIELD,
R66,Rpu_AUX3,10k,R_0805_2012Metric,86.00,191.50,0,top,LOGIC,
R67,Rin_AUX4,2k2,R_0805_2012Metric,58.00,193.60,0,top,FIELD,
R68,Rpu_AUX4,10k,R_0805_2012Metric,86.00,197.20,0,top,LOGIC,
R69,Rin_AUX5,2k2,R_0805_2012Metric,58.00,199.30,0,top,FIELD,
R70,Rpu_AUX5,10k,R_0805_2012Metric,86.00,202.90,0,top,LOGIC,
R71,Rin_AUX6,2k2,R_0805_2012Metric,58.00,205.00,0,top,FIELD,
R72,Rpu_AUX6,10k,R_0805_2012Metric,86.00,208.60,0,top,LOGIC,
R73,Rin_AUX7,2k2,R_0805_2012Metric,58.00,210.70,0,top,FIELD,
R74,Rpu_AUX7,10k,R_0805_2012Metric,86.00,214.30,0,top,LOGIC,
R75,Rin_AUX8,2k2,R_0805_2012Metric,58.00,216.40,0,top,FIELD,
R76,Rpu_AUX8,10k,R_0805_2012Metric,86.00,220.00,0,top,LOGIC,
R77,Rin_AUX9,2k2,R_0805_2012Metric,58.00,222.10,0,top,FIELD,
R78,Rpu_AUX9,10k,R_0805_2012Metric,86.00,225.70,0,top,LOGIC,
R79,Rin_AUX10,2k2,R_0805_2012Metric,58.00,227.80,0,top,FIELD,
R80,Rpu_AUX10,10k,R_0805_2012Metric,86.00,231.40,0,top,LOGIC,
R81,Rin_AUX11,2k2,R_0805_2012Metric,58.00,233.50,0,top,FIELD,
R82,Rpu_AUX11,10k,R_0805_2012Metric,86.00,237.10,0,top,LOGIC,
R83,Rb_S,1k,R_0805_2012Metric,150.00,65.00,90,top,LOGIC,
R84,Rpd_S,100k,R_0805_2012Metric,150.00,71.00,90,top,LOGIC,
R85,Rsnub_S,100R DNP,R_0805_2012Metric,222.00,65.00,90,top,MACHINE,DNP
R86,Rb_T,1k,R_0805_2012Metric,150.00,87.00,90,top,LOGIC,
R87,Rpd_T,100k,R_0805_2012Metric,150.00,93.00,90,top,LOGIC,
R88,Rsnub_T,100R DNP,R_0805_2012Metric,222.00,87.00,90,top,MACHINE,DNP
R89,Rb_SP,1k,R_0805_2012Metric,150.00,109.00,90,top,LOGIC,
R90,Rpd_SP,100k,R_0805_2012Metric,150.00,115.00,90,top,LOGIC,
R91,Rsnub_SP,100R DNP,R_0805_2012Metric,222.00,109.00,90,top,MACHINE,DNP
R92,Rb_BE,1k,R_0805_2012Metric,150.00,131.00,90,top,LOGIC,
R93,Rpd_BE,100k,R_0805_2012Metric,150.00,137.00,90,top,LOGIC,
R94,Rsnub_BE,100R DNP,R_0805_2012Metric,222.00,131.00,90,top,MACHINE,DNP
R95,Rb_M,1k,R_0805_2012Metric,150.00,153.00,90,top,LOGIC,
R96,Rpd_M,100k,R_0805_2012Metric,150.00,159.00,90,top,LOGIC,
R97,Rsnub_M,100R DNP,R_0805_2012Metric,222.00,153.00,90,top,MACHINE,DNP
R98,Rb_M2,1k,R_0805_2012Metric,150.00,175.00,90,top,LOGIC,
R99,Rpd_M2,100k,R_0805_2012Metric,150.00,181.00,90,top,LOGIC,
R100,Rsnub_M2,100R DNP,R_0805_2012Metric,222.00,175.00,90,top,MACHINE,DNP
R101,Rb_M1,1k,R_0805_2012Metric,150.00,197.00,90,top,LOGIC,DNP
R102,Rpd_M1,100k,R_0805_2012Metric,150.00,203.00,90,top,LOGIC,DNP
R103,Rsnub_M1,100R DNP,R_0805_2012Metric,222.00,197.00,90,top,MACHINE,DNP
R104,Rgled_L_FIRST,1k,R_0805_2012Metric,101.00,190.00,90,top,LOGIC,
R105,Rpdled_L_FIRST,100k,R_0805_2012Metric,107.00,190.00,90,top,LOGIC,
R106,Rled_L_FIRST,330R,R_0805_2012Metric,104.00,182.00,0,top,LOGIC,
R107,Rgled_L_SECOND,1k,R_0805_2012Metric,113.00,190.00,90,top,LOGIC,
R108,Rpdled_L_SECOND,100k,R_0805_2012Metric,119.00,190.00,90,top,LOGIC,
R109,Rled_L_SECOND,330R,R_0805_2012Metric,116.00,182.00,0,top,LOGIC,
R110,Rgled_L_STRIKE,1k,R_0805_2012Metric,125.00,190.00,90,top,LOGIC,
R111,Rpdled_L_STRIKE,100k,R_0805_2012Metric,131.00,190.00,90,top,LOGIC,
R112,Rled_L_STRIKE,330R,R_0805_2012Metric,128.00,182.00,0,top,LOGIC,
R113,Rgled_L_FOUL,1k,R_0805_2012Metric,137.00,190.00,90,top,LOGIC,
R114,Rpdled_L_FOUL,100k,R_0805_2012Metric,143.00,190.00,90,top,LOGIC,
R115,Rled_L_FOUL,330R,R_0805_2012Metric,140.00,182.00,0,top,LOGIC,
R116,R_WDOG_TIMING,100k,R_0805_2012Metric,146.00,40.00,90,top,LOGIC,
R117,R_WDOG_TRIG_PULLUP,10k,R_0805_2012Metric,145.00,78.00,90,top,LOGIC,
R118,R_WDOG_KICK_GATE,1k,R_0805_2012Metric,142.00,47.00,90,top,LOGIC,
R119,R_WDOG_KICK_PD,10k,R_0805_2012Metric,142.00,70.00,90,top,LOGIC,
R120,R_WDOG_OUT_GATE,1k,R_0805_2012Metric,162.00,47.00,90,top,LOGIC,
R121,R_WDOG_OUT_PD,10k,R_0805_2012Metric,162.00,70.00,90,top,LOGIC,
R122,R_WET_BLEED1,2k2,R_0805_2012Metric,63.00,16.00,90,top,FIELD,
R123,R_WET_BLEED2,2k2,R_0805_2012Metric,67.00,16.00,90,top,FIELD,
R124,R_RAIL_GATE_PULLUP,100k,R_0805_2012Metric,148.00,82.00,90,top,LOGIC,
R125,Rb_AND_ARM,10k,R_0805_2012Metric,133.00,90.00,90,top,LOGIC,
R126,Rpd_AND_ARM,100k,R_0805_2012Metric,133.00,98.00,90,top,LOGIC,
R127,Rb_AND_RP_OK,10k,R_0805_2012Metric,170.00,90.00,90,top,LOGIC,
R128,Rpd_AND_RP_OK,100k,R_0805_2012Metric,170.00,98.00,90,top,LOGIC,
R129,R_ADC5_TOP,10k,R_0805_2012Metric,114.00,41.00,90,top,LOGIC,
R130,R_ADC5_BOT,10k,R_0805_2012Metric,114.00,47.00,90,top,LOGIC,
R131,R_TAPIN_555,1M,R_0805_2012Metric,146.00,33.00,0,top,LOGIC,
R132,R_TAPPU_555,10k,R_0805_2012Metric,120.50,52.00,180,top,LOGIC,
R133,R_TAPIN_KICK,1M,R_0805_2012Metric,136.00,47.00,90,top,LOGIC,
R134,R_TAPPU_KICK,10k,R_0805_2012Metric,120.50,56.00,180,top,LOGIC,
R135,R_TAPG_KICK,10M,R_0805_2012Metric,125.00,56.00,0,top,LOGIC,
R136,R_TAPIN_ARM,1M,R_0805_2012Metric,130.00,70.00,90,top,LOGIC,
R137,R_TAPPU_ARM,10k,R_0805_2012Metric,120.50,60.00,180,top,LOGIC,
R138,R_TAPG_ARM,10M,R_0805_2012Metric,125.00,60.00,0,top,LOGIC,
R139,R_TAPIN_RPOK,1M,R_0805_2012Metric,156.00,64.00,0,top,LOGIC,
R140,R_TAPPU_RPOK,10k,R_0805_2012Metric,120.50,64.00,180,top,LOGIC,
R141,R_TAPG_RPOK,10M,R_0805_2012Metric,125.00,64.00,0,top,LOGIC,
R142,R_J16_SDA_PU,4.7k,R_0805_2012Metric,148.30,216.00,180,top,LOGIC,
R143,R_J16_SCL_PU,4.7k,R_0805_2012Metric,137.70,223.30,0,top,LOGIC,
R144,R_REVID0,10k,R_0805_2012Metric,118.00,68.00,180,top,LOGIC,
R145,R_REVID1,10k,R_0805_2012Metric,118.00,71.00,180,top,LOGIC,
U1,MCP_IN_A,MCP23017 MCP_IN_A,SOIC-28W_7.5x17.9mm_P1.27mm,122.00,104.00,0,top,LOGIC,
U2,MCP_IN_B,MCP23017 MCP_IN_B,SOIC-28W_7.5x17.9mm_P1.27mm,122.00,146.00,0,top,LOGIC,
U3,MCP_OUT_A,MCP23017 MCP_OUT_A,SOIC-28W_7.5x17.9mm_P1.27mm,140.00,112.00,0,top,LOGIC,
U4,OPTO_SA,PC817 SA,DIP-4_W7.62mm,74.00,13.00,0,top,FIELD,
U5,OPTO_SB,PC817 SB,DIP-4_W7.62mm,74.00,18.70,0,top,FIELD,
U6,OPTO_SC,PC817 SC,DIP-4_W7.62mm,74.00,24.40,0,top,FIELD,
U7,OPTO_TA1,PC817 TA1,DIP-4_W7.62mm,74.00,30.10,0,top,FIELD,
U8,OPTO_TA2,PC817 TA2,DIP-4_W7.62mm,74.00,35.80,0,top,FIELD,
U9,OPTO_TB,PC817 TB,DIP-4_W7.62mm,74.00,41.50,0,top,FIELD,
U10,OPTO_DIELL_L,PC817 DIELL_L,DIP-4_W7.62mm,74.00,47.20,0,top,FIELD,
U11,OPTO_DIELL_R,PC817 DIELL_R,DIP-4_W7.62mm,74.00,52.90,0,top,FIELD,
U12,OPTO_GS1,PC817 GS1,DIP-4_W7.62mm,74.00,58.60,0,top,FIELD,
U13,OPTO_GS2,PC817 GS2,DIP-4_W7.62mm,74.00,64.30,0,top,FIELD,
U14,OPTO_GS3,PC817 GS3,DIP-4_W7.62mm,74.00,70.00,0,top,FIELD,
U15,OPTO_GS4,PC817 GS4,DIP-4_W7.62mm,74.00,75.70,0,top,FIELD,
U16,OPTO_GS5,PC817 GS5,DIP-4_W7.62mm,74.00,81.40,0,top,FIELD,
U17,OPTO_GS6,PC817 GS6,DIP-4_W7.62mm,74.00,87.10,0,top,FIELD,
U18,OPTO_GS7,PC817 GS7,DIP-4_W7.62mm,74.00,92.80,0,top,FIELD,
U19,OPTO_GS8,PC817 GS8,DIP-4_W7.62mm,74.00,98.50,0,top,FIELD,
U20,OPTO_GS9,PC817 GS9,DIP-4_W7.62mm,74.00,104.20,0,top,FIELD,
U21,OPTO_GS10,PC817 GS10,DIP-4_W7.62mm,74.00,109.90,0,top,FIELD,
U22,OPTO_GP,PC817 GP,DIP-4_W7.62mm,74.00,115.60,0,top,FIELD,
U23,OPTO_OS,PC817 OS,DIP-4_W7.62mm,74.00,121.30,0,top,FIELD,
U24,OPTO_BS,PC817 BS,DIP-4_W7.62mm,74.00,127.00,0,top,FIELD,
U25,OPTO_PBZ,PC817 PBZ,DIP-4_W7.62mm,74.00,132.70,0,top,FIELD,
U26,OPTO_PBC,PC817 PBC,DIP-4_W7.62mm,74.00,138.40,0,top,FIELD,
U27,OPTO_FOUL,PC817 FOUL,DIP-4_W7.62mm,74.00,144.10,0,top,FIELD,
U28,OPTO_TENTH,PC817 TENTH,DIP-4_W7.62mm,74.00,149.80,0,top,FIELD,
U29,OPTO_MAN_T,PC817 MAN_T,DIP-4_W7.62mm,74.00,155.50,0,top,FIELD,
U30,OPTO_MAN_S,PC817 MAN_S,DIP-4_W7.62mm,74.00,161.20,0,top,FIELD,
U31,OPTO_MAN_SWS,PC817 MAN_SWS,DIP-4_W7.62mm,74.00,166.90,0,top,FIELD,
U32,OPTO_MAN_SWSR,PC817 MAN_SWSR,DIP-4_W7.62mm,74.00,172.60,0,top,FIELD,
U33,OPTO_AUX1,PC817 AUX1,DIP-4_W7.62mm,74.00,178.30,0,top,FIELD,
U34,OPTO_AUX2,PC817 AUX2,DIP-4_W7.62mm,74.00,184.00,0,top,FIELD,
U35,OPTO_AUX3,PC817 AUX3,DIP-4_W7.62mm,74.00,189.70,0,top,FIELD,
U36,OPTO_AUX4,PC817 AUX4,DIP-4_W7.62mm,74.00,195.40,0,top,FIELD,
U37,OPTO_AUX5,PC817 AUX5,DIP-4_W7.62mm,74.00,201.10,0,top,FIELD,
U38,OPTO_AUX6,PC817 AUX6,DIP-4_W7.62mm,74.00,206.80,0,top,FIELD,
U39,OPTO_AUX7,PC817 AUX7,DIP-4_W7.62mm,74.00,212.50,0,top,FIELD,
U40,OPTO_AUX8,PC817 AUX8,DIP-4_W7.62mm,74.00,218.20,0,top,FIELD,
U41,OPTO_AUX9,PC817 AUX9,DIP-4_W7.62mm,74.00,223.90,0,top,FIELD,
U42,OPTO_AUX10,PC817 AUX10,DIP-4_W7.62mm,74.00,229.60,0,top,FIELD,
U43,OPTO_AUX11,PC817 AUX11,DIP-4_W7.62mm,74.00,235.30,0,top,FIELD,
U44,U_WDOG,NE555,SOIC-8_3.9x4.9mm_P1.27mm,151.00,50.00,0,top,LOGIC,
U45,ISO_WET,TMA-0505S,Converter_DCDC_TRACO_TMA-05xxS_12xxS_Single_THT,85.00,5.70,-90,top,LOGIC,
U46,U_I2C_BUF,TCA4307DGKR,VSSOP-8_3x3mm_P0.65mm,130.90,220.60,0,top,LOGIC,
U47,D_ESD_J16,SRV05-4,SOT-23-6,140.30,217.20,180,top,LOGIC,
