Wire ID,AWG,UL Style,Color,End-A Connector,End-A Position,End-A Termination,End-B Termination,Length Class,Finished Length (mm),Label Text (both ends),Twist Partner,Notes
W36,18,UL1015 600V,Black,NONE - loose lead,J2-2,0.75mm2 insulated ferrule; strip 7mm,0.75mm2 insulated ferrule; strip 7mm,L0,800,J2-2 GND,,As W35
W37,18,UL1015 600V,Black,NONE - loose lead,J2-3,0.75mm2 insulated ferrule; strip 7mm,0.75mm2 insulated ferrule; strip 7mm,L0,800,J2-3 GND,,As W35
W38,18,UL1015 600V,Red,NONE - loose lead,J6-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,S NO,,"Bundle group: motion outputs. J6-J11 are MKDS 5,08mm - insulated ferrule is CORRECT."
W39,18,UL1015 600V,Black,NONE - loose lead,J6-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,S COM,,Pair with W38
W40,18,UL1015 600V,Red,NONE - loose lead,J7-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,T NO,,
W41,18,UL1015 600V,Black,NONE - loose lead,J7-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,T COM,,Pair with W40
W42,18,UL1015 600V,Red,NONE - loose lead,J8-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,SP NO,,
W43,18,UL1015 600V,Black,NONE - loose lead,J8-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,SP COM,,Pair with W42
W44,18,UL1015 600V,Red,NONE - loose lead,J9-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,BE NO,,
W45,18,UL1015 600V,Black,NONE - loose lead,J9-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,BE COM,,Pair with W44
W46,18,UL1015 600V,Red,NONE - loose lead,J10-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,M NO,,
W47,18,UL1015 600V,Black,NONE - loose lead,J10-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,M COM,,Pair with W46
W48,18,UL1015 600V,Red,NONE - loose lead,J11-1,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,M2 NO,,
W49,18,UL1015 600V,Black,NONE - loose lead,J11-2,0.75mm2 insulated ferrule; strip 7mm,Strip 10mm; no ferrule,L1,2500,M2 COM,,Pair with W48
